Id;X;Y;Surface;Altitude;Type;Maladie;Date
1;55,49859247;-21,05335602;3015,417472;732,1327851;Officiel;0;03/09/2019
2;55,49739835;-21,05274376;1714,753058;744,1397251;Officiel;0;26/06/2018
3;55,50414223;-21,05972352;856,9595469;795,831014;NA;NA;NA
4;55,50358465;-21,05926096;538,7331832;781,6437598;NA;NA;NA
5;55,54994889;-21,31699492;7050,787418;677,4561682;Officiel;0;01/01/2017
6;55,58143848;-21,35668698;1088,706781;296,9887633;NA;NA;NA
7;55,43313576;-21,29447562;13001,48936;78,17593537;NA;NA;NA
9;55,54281574;-21,02733471;25023,12996;451,6049755;Mixte;1;27/03/2018
10;55,54235664;-21,01945715;8099,303043;505,6660678;Officiel;0;01/01/2015
11;55,52214437;-21,04972586;35681,64866;721,6989035;Officiel;0;01/01/2016
13;55,52234205;-21,03539738;1463,294457;713,2219287;NA;NA;NA
14;55,51204918;-21,03053104;5502,560726;815,7134281;Officiel;0;01/01/2016
15;55,55775515;-21,2824379;619,7706921;957,2296565;Officiel;0;21/05/2019
16;55,57607432;-21,34195615;1697,14035;534,5108159;Mixte;1;01/01/2016
17;55,56666064;-21,3288005;1264,62818;647,480241;Mixte;1;01/01/2016
18;55,57862667;-21,33019941;5848,640585;724,3600406;Officiel;1;01/01/2017
19;55,45956636;-21,28045665;9612,549956;202,0370386;Officiel;0;01/01/2017
20;55,65843785;-21,35368604;3387,474413;348,1893404;Officiel;0;01/01/2017
21;55,5807794;-21,33648246;1959,062365;655,1079031;Officiel;0;21/05/2019
22;55,5772204;-21,33374378;5308,501229;681,1923159;Officiel;0;01/01/2017
23;55,65357283;-21,32928159;15454,81826;731,4847959;Mixte;0;16/04/2019
24;55,80785782;-21,18295699;6564,469635;422,9065015;Officiel;0;01/01/2017
25;55,62048117;-21,01088974;7850,05031;519,499768;Officiel;0;01/01/2017
26;55,67996069;-21,35243764;2118,386836;469,1774006;Officiel;0;01/01/2017
27;55,52398321;-21,03247818;4491,941952;659,5717742;NA;NA;NA
29;55,54492336;-21,24736745;332,9819487;984,7489461;NA;NA;NA
30;55,54569997;-21,25088905;4796,584519;957,1279038;NA;NA;NA
31;55,55032304;-21,24122078;440,6879079;1116,0209;NA;NA;NA
35;55,54742449;-21,25329334;366,7253674;959,3116252;NA;NA;NA
36;55,54778572;-21,25732277;1562,64162;947,7329259;NA;NA;NA
37;55,54778915;-21,24382284;1714,224399;1058,633049;Officiel;0;28/08/2018
39;55,54655544;-21,24442253;325,7909187;1035,350516;NA;NA;NA
40;55,53878841;-21,24749932;1040,150009;944,3586662;NA;NA;NA
41;55,54711933;-21,24410722;4148,528378;1047,433665;Officiel;0;28/08/2018
42;55,53871198;-21,24462608;1076,036882;972,2802249;NA;NA;NA
43;55,54736638;-21,24422744;3024,044522;1047,747532;Officiel;0;28/08/2018
44;55,54796614;-21,24334722;2802,053064;1066,856568;Officiel;0;28/08/2018
45;55,54570932;-21,2457016;860,5801992;1008,870337;NA;NA;NA
46;55,54595116;-21,24534399;824,8503423;1015,875195;NA;NA;NA
47;55,546123;-21,24513653;790,4766393;1021,254463;NA;NA;NA
48;55,54527536;-21,24890783;1841,351964;976,0167339;NA;NA;NA
49;55,54782394;-21,2483941;1659,56086;999,4225517;NA;NA;NA
53;55,54510277;-21,2547247;1121,510677;923,5315876;Officiel;0;28/08/2018
55;55,54550391;-21,2551978;1306,445194;940,9417603;NA;NA;NA
56;55,53525624;-21,24473729;1337,955749;940,6788267;NA;NA;NA
57;55,53503835;-21,24481866;923,61382;940,2139343;NA;NA;NA
58;55,5460782;-21,24565891;1119,082359;1013,580388;NA;NA;NA
59;55,54584553;-21,24602125;1804,713377;1006,876138;NA;NA;NA
60;55,54353668;-21,24907571;1074,153519;957,936978;NA;NA;NA
62;55,54364506;-21,24165262;493,0312451;1058,094436;NA;NA;NA
63;55,54453281;-21,24177267;333,2870386;1066,144688;NA;NA;NA
64;55,54741419;-21,24092768;1563,30045;1103,365069;NA;NA;NA
65;55,54775845;-21,24118434;2290,925038;1099,99623;NA;NA;NA
66;55,54267922;-21,02819822;1298,574105;485,0175307;Officiel;0;27/03/2018
67;55,51716959;-21,2499432;321,1367422;795,7777147;NA;NA;NA
68;55,54853433;-21,24340006;388,8115885;1070,955294;Officiel;0;28/08/2018
69;55,51706113;-21,25037293;130,4193489;791,6923726;NA;NA;NA
70;55,52220006;-21,23893889;1144,561928;931,2815743;Mixte;0;28/08/2018
71;55,51876203;-21,24891064;1661,480747;818,1152868;NA;NA;NA
72;55,51805678;-21,25009222;1563,988895;805,9847686;NA;NA;NA
73;55,5183143;-21,25042474;745,2909738;807,24557;NA;NA;NA
77;55,51489974;-21,23646042;2660,156166;910,4563729;NA;NA;NA
83;55,49142299;-21,25401494;8123,857821;513,5521092;NA;NA;NA
85;55,51025579;-21,23925542;2395,11314;837,5433298;Officiel;0;21/05/2019
86;55,51778849;-21,25374835;541,9185368;763,0900853;NA;NA;NA
88;55,51624743;-21,2498824;3603,152186;790,3283252;NA;NA;NA
99;55,57731291;-21,31065612;8044,72694;966,6057855;Officiel;0;01/01/2015
101;55,51910674;-21,24961411;979,1957996;815,2880932;NA;NA;NA
104;55,32374774;-21,01755695;4644,33181;671,3625696;Officiel;0;19/02/2019
105;55,7091399;-21,11656413;11130,8991;431,2548944;Officiel;0;03/09/2019
106;55,51857453;-21,24925279;1557,162951;813,6118173;Mixte;0;18/09/2019
107;55,52872362;-21,23069979;1786,881303;1067,165873;Officiel;0;01/01/2016
108;55,52949114;-21,23056317;8413,105457;1073,764268;Officiel;0;22/01/2019
113;55,48302468;-21,26672566;1101,95533;374,3884052;NA;NA;NA
123;55,5777487;-21,34022909;5198,344883;569,3000336;Officiel;1;19/03/2019
124;55,57774349;-21,34359961;2634,503326;506,1898392;Mixte;1;19/03/2019
134;55,55473222;-21,33810991;955,171529;477,2932881;NA;NA;NA
135;55,55492586;-21,33729702;1876,646919;489,7854596;NA;NA;NA
153;55,5702174;-21,33844707;1226,591739;563,195734;NA;NA;NA
168;55,5772403;-21,34449415;781,1696139;495,4974421;NA;NA;NA
169;55,57681807;-21,34456251;2077,121398;489,7743444;NA;NA;NA
170;55,57704673;-21,34473991;1356,171154;488,3506375;NA;NA;NA
183;55,57715607;-21,31215029;3904,041178;973,8619701;Officiel;0;16/07/2019
196;55,57160601;-21,31864554;1235,597793;860,7018709;NA;NA;NA
199;55,55435715;-21,35188444;656,4557572;297,3389734;NA;NA;NA
204;55,55025897;-21,35823596;727,6384092;189,8992419;NA;NA;NA
205;55,57654845;-21,35963307;2123,02912;245,4564416;NA;NA;NA
207;55,57409377;-21,32434596;2704,199481;772,7146454;NA;NA;NA
224;55,56148211;-21,3343478;1776,709517;534,5829191;NA;NA;NA
228;55,58842228;-21,33904363;1307,526508;622,7404548;NA;NA;NA
229;55,58799521;-21,33903322;1269,553188;619,6536831;NA;NA;NA
237;55,5823914;-21,36150301;2730,887857;231,0402003;Mixte;1;01/01/2017
238;55,58173794;-21,3612149;4651,823177;230,7050846;NA;NA;NA
239;55,580826;-21,36003815;10863,01507;248,1372236;Mixte;1;19/03/2019
240;55,58528016;-21,35748113;6934,29259;302,307157;NA;NA;NA
241;55,58232926;-21,35730505;13268,40537;297,1860876;NA;NA;NA
242;55,58119422;-21,35791349;1952,700676;277,8588841;Officiel;0;01/01/2016
243;55,58101025;-21,35807314;741,4949787;277,0642672;Officiel;0;01/01/2017
244;55,58055883;-21,3574314;7427,124615;273,5776979;NA;NA;NA
245;55,55884552;-21,35844971;2635,212759;226,7528095;Officiel;1;01/01/2016
246;55,55788867;-21,35807764;2960,624089;220,3874259;NA;NA;NA
261;55,5858782;-21,33999885;2125,51782;601,8214804;NA;NA;NA
262;55,58385251;-21,33898796;582,8143875;597,8902065;NA;NA;NA
263;55,5846729;-21,33941158;14637,33279;588,3929284;NA;NA;NA
271;55,56462857;-21,33370831;1750,123121;586,0392757;NA;NA;NA
277;55,56454997;-21,31969807;2275,651197;795,5451722;NA;NA;NA
278;55,56462022;-21,32036302;3547,873489;785,8251779;Officiel;0;01/01/2017
283;55,53912791;-21,36144737;2202,038331;54,92176103;NA;NA;NA
287;55,54650254;-21,34852877;11770,24747;296,1188654;Mixte;1;21/05/2019
292;55,55486773;-21,33782223;924,7902033;482,6322029;NA;NA;NA
298;55,58036696;-21,36071888;949,9805961;237,9942236;NA;NA;NA
300;55,58036823;-21,35697863;400,4364602;272,8445659;NA;NA;NA
301;55,58096426;-21,35748468;1405,242729;283,6642151;NA;NA;NA
302;55,58142936;-21,35711959;1608,786191;289,4778919;NA;NA;NA
303;55,58311407;-21,35804804;2628,932531;291,6708622;NA;NA;NA
304;55,58260707;-21,3568985;1168,068199;307,6259817;NA;NA;NA
305;55,58320073;-21,35724409;3683,062417;306,8625168;NA;NA;NA
306;55,58567429;-21,35543143;1863,334228;335,6080583;NA;NA;NA
307;55,58477042;-21,34515038;2295,171366;500,9207385;NA;NA;NA
310;55,58671073;-21,34013147;592,8924228;617,124082;NA;NA;NA
311;55,54397614;-21,35447809;3179,970865;185,3004697;NA;NA;NA
312;55,58718231;-21,35878468;422,6861456;281,6431359;NA;NA;NA
313;55,55290919;-21,34384212;4015,754212;394,6341794;Mixte;1;01/01/2017
314;55,57897143;-21,36060562;1868,930873;223,6969997;Officiel;1;01/01/2017
316;55,54495861;-21,3576952;3277,100897;138,7744184;NA;NA;NA
317;55,54588628;-21,35616336;1067,875696;171,0211649;NA;NA;NA
318;55,5853239;-21,34469922;5755,287856;514,3008761;NA;NA;NA
323;55,57070121;-21,36894062;2881,603318;162,5945783;NA;NA;NA
328;55,55362428;-21,34987395;1761,281163;310,8695768;NA;NA;NA
329;55,56596593;-21,36973448;1135,294486;149,473553;NA;NA;NA
333;55,55912015;-21,36258771;2309,014364;190,7748216;NA;NA;NA
334;55,56767669;-21,36224372;11857,47003;220,9338039;Mixte;1;28/12/2016
335;55,56152187;-21,34349097;2487,079662;451,4302399;Mixte;1;01/01/2017
336;55,56193639;-21,34370323;1733,167495;450,3413675;NA;NA;NA
