id;latitude;longitude;HLB;date
HLB18_0001;-21,327;55,495;1;19/04/2018
HLB18_0002;-21,327;55,495;1;19/04/2018
HLB18_0003;-21,298;55,503;1;01/01/2018
HLB18_0004;-21,298;55,503;1;01/01/2018
HLB18_0005;-21,298;55,503;1;01/01/2018
HLB18_0006;-21,298;55,503;1;01/01/2018
HLB18_0007;-21,298;55,503;1;01/01/2018
HLB18_0008;-21,298;55,503;1;01/01/2018
HLB18_0009;-21,324;55,488;0;10/07/2018
HLB18_0010;-21,324;55,488;1;10/07/2018
HLB18_0011;-21,324;55,488;1;10/07/2018
HLB18_0012;-21,324;55,488;1;10/07/2018
HLB18_0013;-21,324;55,488;1;10/07/2018
HLB18_0014;-21,324;55,488;1;10/07/2018
HLB18_0015;-21,324;55,488;0;10/07/2018
HLB18_0016;-21,324;55,488;0;10/07/2018
HLB18_0017;-21,324;55,488;0;10/07/2018
HLB18_0018;-21,324;55,488;0;10/07/2018
HLB18_0019;-21,324;55,488;0;10/07/2018
HLB18_0020;-21,324;55,488;0;10/07/2018
HLB18_0021;-21,324;55,488;0;10/07/2018
HLB18_0022;-21,324;55,488;0;10/07/2018
HLB18_0023;-21,324;55,488;0;10/07/2018
HLB18_0024;-21,324;55,488;0;10/07/2018
HLB18_0025;-21,324;55,488;0;10/07/2018
HLB18_0026;-21,324;55,488;0;10/07/2018
HLB18_0027;-21,324;55,488;0;10/07/2018
HLB18_0028;-21,324;55,488;0;10/07/2018
HLB18_0029;-21,324;55,488;0;10/07/2018
HLB18_0030;-21,324;55,488;0;10/07/2018
HLB18_0031;-21,324;55,488;0;10/07/2018
HLB18_0032;-21,324;55,488;0;10/07/2018
HLB18_0033;-21,324;55,488;1;10/07/2018
HLB18_0034;-21,324;55,488;1;10/07/2018
HLB18_0035;-21,324;55,488;0;10/07/2018
HLB18_0036;-21,324;55,488;1;10/07/2018
HLB18_0037;-21,324;55,488;0;10/07/2018
HLB18_0038;-21,324;55,488;0;10/07/2018
HLB18_0039;-21,324;55,488;0;10/07/2018
HLB18_0040;-21,324;55,488;0;10/07/2018
HLB18_0041;-21,324;55,488;1;10/07/2018
HLB18_0042;-21,324;55,488;1;10/07/2018
