Id;X;Y;Surface;Maladie;Date;COMMUNE
1;55,49859246;-21,053356;0,301541747;0;26/06/2018;SALAZIE
2;55,49739835;-21,0527437;0,171475306;0;26/06/2018;SALAZIE
5;55,54994888;-21,3169949;0,705078742;1;17/01/2020;SAINT PIERRE
9;55,54281574;-21,0273347;2,502312996;1;27/03/2018;SALAZIE
10;55,54235664;-21,0194571;0,809930304;0;01/01/2015;SALAZIE
11;55,52214437;-21,0497258;3,568164866;0;01/01/2016;SALAZIE
14;55,51204917;-21,030531;0,550256073;1;29/05/2020;SALAZIE
15;55,55775515;-21,2824378;0,061977069;0;28/08/2018;LE TAMPON
16;55,57607432;-21,3419561;0,169714035;1;01/01/2016;PETITE ILE
17;55,56666064;-21,3288004;0,126462818;1;01/01/2016;PETITE ILE
19;55,45956636;-21,2804566;0,961254996;0;01/01/2017;ENTRE-DEUX
20;55,65843785;-21,353686;0,338747441;0;31/08/2020;SAINT JOSEPH
21;55,58077939;-21,3364824;0,195906237;0;02/12/2019;PETITE ILE
22;55,5772204;-21,3337437;0,530850123;0;01/01/2017;PETITE ILE
23;55,65357282;-21,3292815;1,545481826;0;16/04/2019;SAINT JOSEPH
24;55,80785781;-21,1829569;0,656446964;0;01/01/2017;SAINTE ROSE
25;55,62048117;-21,0108897;0,785005031;0;01/01/2017;BRAS-PANON
26;55,67996068;-21,3524376;0,211838684;0;01/01/2017;SAINT JOSEPH
37;55,54778915;-21,2438228;0,17142244;0;28/08/2018;LE TAMPON
41;55,54711933;-21,2441072;0,414852838;0;28/08/2018;LE TAMPON
43;55,54736638;-21,2442274;0,302404452;0;28/08/2018;LE TAMPON
44;55,54796613;-21,2433472;0,280205306;0;28/08/2018;LE TAMPON
53;55,54510276;-21,2547247;0,112151068;0;28/08/2018;LE TAMPON
66;55,54267921;-21,0281982;0,129857411;0;27/03/2018;SALAZIE
68;55,54853433;-21,2434;0,038881159;0;28/08/2018;LE TAMPON
70;55,52220005;-21,2389388;0,114456193;1;28/08/2018;LE TAMPON
85;55,51025579;-21,2392554;0,239511314;0;25/11/2019;LE TAMPON
99;55,57731291;-21,3106561;0,804472694;0;02/12/2019;SAINT PIERRE
104;55,32374773;-21,0175569;0,464433181;0;22/06/2020;SAINT PAUL
105;55,7091399;-21,1165641;1,11308991;0;03/09/2019;SAINT BENOIT
106;55,51857452;-21,2492527;0,155716295;1;18/09/2018;LE TAMPON
107;55,52872362;-21,2306997;0,17868813;0;22/01/2019;LE TAMPON
108;55,52949114;-21,2305631;0,841310546;0;22/01/2019;LE TAMPON
113;55,48302467;-21,2667256;0,110195533;1;12/04/2018;SAINT PIERRE
123;55,57774869;-21,340229;0,519834488;1;19/03/2019;PETITE ILE
124;55,57774348;-21,3435996;0,263450333;1;19/03/2019;PETITE ILE
183;55,57715607;-21,3121502;0,390404118;0;02/12/2019;PETITE ILE
229;55,5879952;-21,3390332;0,126955319;1;08/11/2019;PETITE ILE
237;55,58239139;-21,361503;0,273088786;1;01/01/2017;PETITE ILE
239;55,580826;-21,3600381;1,086301507;1;19/03/2019;PETITE ILE
240;55,58528016;-21,3574811;0,693429259;1;08/11/2019;PETITE ILE
242;55,58119421;-21,3579134;0,195270068;0;01/01/2016;PETITE ILE
243;55,58101024;-21,3580731;0,074149498;0;01/01/2017;PETITE ILE
261;55,58587819;-21,3399988;0,212551782;1;NA;PETITE ILE
263;55,58467289;-21,3394115;1,463733279;0;08/11/2019;PETITE ILE
278;55,56462021;-21,320363;0,354787349;0;01/01/2017;PETITE ILE
287;55,54650254;-21,3485287;1,177024747;1;21/05/2019;PETITE ILE
302;55,58142936;-21,3571195;0,160878619;1;08/11/2019;PETITE ILE
310;55,58671073;-21,3401314;0,059289242;1;08/11/2019;PETITE ILE
311;55,54397614;-21,354478;0,317997087;0;11/10/2019;PETITE ILE
312;55,5871823;-21,3587846;0,042268615;1;08/11/2019;PETITE ILE
313;55,55290918;-21,3438421;0,401575421;1;01/01/2017;PETITE ILE
316;55,54495861;-21,3576952;0,32771009;1;11/10/2019;PETITE ILE
323;55,57070121;-21,3689406;0,288160332;1;31/10/2019;PETITE ILE
334;55,56767668;-21,3622437;1,185747003;1;01/01/2015;PETITE ILE
335;55,56152187;-21,3434909;0,248707966;1;16/02/2021;PETITE ILE
338;55,5541329;-21,3476595;0,265052722;1;11/10/2019;PETITE ILE
344;55,58186594;-21,3354787;0,19161181;0;08/11/2019;PETITE ILE
348;55,57132136;-21,32008;0,499902219;0;01/01/2017;PETITE ILE
351;55,56026249;-21,3495357;0,314094331;1;19/03/2019;PETITE ILE
355;55,5601442;-21,3491172;0,242345743;0;19/03/2019;PETITE ILE
356;55,55940888;-21,3491662;0,15539244;1;19/03/2019;PETITE ILE
359;55,55787516;-21,3497319;0,023211719;1;19/03/2019;PETITE ILE
360;55,55970586;-21,3496374;0,052079387;1;19/03/2019;PETITE ILE
361;55,57678129;-21,3113947;1,14168385;0;02/12/2019;PETITE ILE
362;55,5774042;-21,3117376;0,33553846;0;02/12/2019;PETITE ILE
376;55,58089703;-21,328335;0,351324851;0;01/01/2017;PETITE ILE
388;55,55535768;-21,3377606;0,233089838;1;08/11/2019;PETITE ILE
390;55,55195468;-21,3382592;0,317854913;1;08/11/2019;PETITE ILE
391;55,58608652;-21,3402293;0,265202661;0;08/11/2019;PETITE ILE
400;55,55443807;-21,3474425;0,055982459;1;01/01/2015;PETITE ILE
407;55,5817679;-21,3525605;0,159809902;0;08/11/2019;PETITE ILE
413;55,58676655;-21,3586922;0,289982545;1;25/06/2019;PETITE ILE
421;55,57267006;-21,3598766;0,160947955;1;01/01/2017;PETITE ILE
422;55,58072064;-21,3606329;0,36439619;1;19/03/2019;PETITE ILE
427;55,55394249;-21,3680455;0,288904799;0;01/01/2016;PETITE ILE
429;55,56173936;-21,3690742;0,246174605;1;31/10/2019;PETITE ILE
431;55,56262112;-21,3682048;0,091153999;1;31/10/2019;PETITE ILE
451;55,55893109;-21,3495474;0,362412543;1;19/03/2019;PETITE ILE
574;55,43430748;-21,2949087;3,023419845;1;01/01/2017;SAINT PIERRE
613;55,2599509;-21,0630782;6,382696931;1;17/09/2019;SAINT PAUL
655;55,48839134;-21,3236837;0,696287949;0;01/01/2015;SAINT PIERRE
661;55,48781252;-21,3234209;0,395351501;1;10/07/2018;SAINT PIERRE
675;55,40823024;-21,202497;0,215664374;0;29/06/2020;SAINT LOUIS
711;55,23294723;-21,0259933;4,752676072;0;31/07/2018;SAINT PAUL
748;55,48148581;-21,2351064;0,214114278;0;25/11/2019;ENTRE-DEUX
884;55,32158115;-21,1622144;0,248147884;1;18/10/2019;SAINT LEU
962;55,59909035;-21,3620495;1,085959842;1;15/01/2020;SAINT JOSEPH
1027;55,6100401;-21,3349133;0,334577716;0;15/01/2020;SAINT JOSEPH
1071;55,59146359;-20,9689072;0,233555234;0;01/01/2016;SAINTE SUZANNE
1095;55,37094866;-21,2818318;0,811462125;1;16/04/2019;ETANG-SALE
1120;55,61489608;-21,3252533;0,429908766;0;15/01/2020;SAINT JOSEPH
1206;55,38671212;-21,2558224;1,228571425;0;08/08/2019;ETANG-SALE
1223;55,27672977;-21,056234;1,698294468;0;22/06/2020;SAINT PAUL
